# BUSCO version is: 5.7.0 
# The lineage dataset is: insecta_odb10 (Creation date: 2020-09-10, number of genomes: 75, number of BUSCOs: 1367)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
47at50557	Complete	SUPER_2	14236888	14208284	-	4757.9	2931	https://www.orthodb.org/v10?query=47at50557	Immunoglobulin-like domain
547at50557	Complete	SUPER_X	16442659	16415820	-	3441.7	2257	https://www.orthodb.org/v10?query=547at50557	protein unc-80 homolog
755at50557	Complete	SUPER_1	16134691	16116426	-	3168.4	2231	https://www.orthodb.org/v10?query=755at50557	SRCR-like domain
767at50557	Complete	SUPER_3	46953414	46976240	+	3617.2	2252	https://www.orthodb.org/v10?query=767at50557	WD40-repeat-containing domain
888at50557	Duplicated	SUPER_GRC2	70355630	70346888	-	2548.0	1742	https://www.orthodb.org/v10?query=888at50557	probable ubiquitin carboxyl-terminal hydrolase FAF-X
888at50557	Duplicated	SUPER_3	38639723	38681572	+	2494.8	1732	https://www.orthodb.org/v10?query=888at50557	probable ubiquitin carboxyl-terminal hydrolase FAF-X
966at50557	Complete	SUPER_1	55998276	56009160	+	2032.2	1654	https://www.orthodb.org/v10?query=966at50557	leucine-rich repeat serine/threonine-protein kinase 1
983at50557	Complete	SUPER_2	20260252	20268639	+	4030.2	1888	https://www.orthodb.org/v10?query=983at50557	pre-mRNA-processing-splicing factor 8
1451at50557	Complete	SUPER_2	41014238	41006183	-	1801.7	1829	https://www.orthodb.org/v10?query=1451at50557	small subunit processome component 20 homolog
1593at50557	Complete	SUPER_X	24735091	24743691	+	767.1	805	https://www.orthodb.org/v10?query=1593at50557	cadherin-89D
1621at50557	Complete	SUPER_2	40587470	40598487	+	3330.8	2244	https://www.orthodb.org/v10?query=1621at50557	GPCR, family 2, extracellular hormone receptor domain
1859at50557	Complete	SUPER_2	54585476	54615121	+	1602.4	1092	https://www.orthodb.org/v10?query=1859at50557	Zinc finger C2H2 superfamily
1997at50557	Complete	SUPER_X	56031892	56015159	-	2834.9	1712	https://www.orthodb.org/v10?query=1997at50557	protein sidekick isoform X1
2098at50557	Complete	SUPER_3	21814532	21833881	+	1380.9	854	https://www.orthodb.org/v10?query=2098at50557	pecanex-like protein 1 isoform X1
2101at50557	Complete	SUPER_X	13512083	13493455	-	1383.3	1340	https://www.orthodb.org/v10?query=2101at50557	serine/threonine-protein kinase SMG1
2110at50557	Duplicated	SUPER_GRC2	63717100	63723828	+	1311.6	1287	https://www.orthodb.org/v10?query=2110at50557	proteasome-associated protein ECM29 homolog
2110at50557	Duplicated	SUPER_1	48808624	48816836	+	1368.8	1265	https://www.orthodb.org/v10?query=2110at50557	proteasome-associated protein ECM29 homolog
2168at50557	Complete	SUPER_2	43245328	43237627	-	1311.8	906	https://www.orthodb.org/v10?query=2168at50557	DNA polymerase
2187at50557	Duplicated	SUPER_GRC1	23265074	23273354	+	3287.0	2052	https://www.orthodb.org/v10?query=2187at50557	eIF-2-alpha kinase activator GCN1
2187at50557	Duplicated	SUPER_GRC2	97313955	97296127	-	3322.7	2020	https://www.orthodb.org/v10?query=2187at50557	eIF-2-alpha kinase activator GCN1
2187at50557	Duplicated	SUPER_X	49485360	49478655	-	3080.5	1795	https://www.orthodb.org/v10?query=2187at50557	eIF-2-alpha kinase activator GCN1
2339at50557	Complete	SUPER_3	33743799	33730090	-	2702.5	1431	https://www.orthodb.org/v10?query=2339at50557	Clathrin heavy chain
2418at50557	Duplicated	SUPER_2	42994737	43012893	+	1185.1	1062	https://www.orthodb.org/v10?query=2418at50557	trichohyalin isoform X1
2418at50557	Duplicated	SUPER_GRC1	22352278	22365283	+	1153.5	1030	https://www.orthodb.org/v10?query=2418at50557	trichohyalin isoform X1
2648at50557	Duplicated	SUPER_1	57465386	57528921	+	2414.5	1243	https://www.orthodb.org/v10?query=2648at50557	Ankyrin repeat-containing domain
2648at50557	Duplicated	SUPER_GRC1	71314745	71332933	+	2358.6	1242	https://www.orthodb.org/v10?query=2648at50557	Ankyrin repeat-containing domain
2741at50557	Complete	SUPER_1	73561691	73566941	+	1775.4	971	https://www.orthodb.org/v10?query=2741at50557	brefeldin A-inhibited guanine nucleotide-exchange protein 1
2744at50557	Duplicated	SUPER_GRC1	26803997	26812670	+	2402.8	1760	https://www.orthodb.org/v10?query=2744at50557	dnaJ homolog subfamily C member 13
2744at50557	Duplicated	SUPER_2	50015033	50024566	+	2480.6	1759	https://www.orthodb.org/v10?query=2744at50557	dnaJ homolog subfamily C member 13
2843at50557	Duplicated	SUPER_2	37693969	37699761	+	1318.2	941	https://www.orthodb.org/v10?query=2843at50557	nucleosome-remodeling factor subunit NURF301 isoform X1
2843at50557	Duplicated	SUPER_GRC1	18964103	18950247	-	1132.6	940	https://www.orthodb.org/v10?query=2843at50557	nucleosome-remodeling factor subunit NURF301 isoform X1
3565at50557	Duplicated	SUPER_3	50093776	50102861	+	1399.3	1016	https://www.orthodb.org/v10?query=3565at50557	DENN domain-containing protein 4C isoform X1
3565at50557	Duplicated	SUPER_GRC2	72367249	72359976	-	1297.0	870	https://www.orthodb.org/v10?query=3565at50557	DENN domain-containing protein 4C isoform X1
4042at50557	Duplicated	SUPER_GRC2	28330135	28324664	-	885.2	651	https://www.orthodb.org/v10?query=4042at50557	attractin-like protein 1
4042at50557	Duplicated	SUPER_X	54924183	54928316	+	875.9	651	https://www.orthodb.org/v10?query=4042at50557	attractin-like protein 1
4137at50557	Complete	SUPER_2	12391871	12415220	+	2449.2	1376	https://www.orthodb.org/v10?query=4137at50557	Thioredoxin domain
4709at50557	Complete	SUPER_1	2242888	2238101	-	1062.2	1001	https://www.orthodb.org/v10?query=4709at50557	nuclear pore complex protein Nup155
4831at50557	Complete	SUPER_1	23407089	23411103	+	1317.8	803	https://www.orthodb.org/v10?query=4831at50557	chromodomain-helicase-DNA-binding protein 1
5495at50557	Complete	SUPER_X	52358118	52361863	+	2065.0	987	https://www.orthodb.org/v10?query=5495at50557	splicing factor 3B subunit 1
5928at50557	Complete	SUPER_X	34439543	34446152	+	1582.4	1162	https://www.orthodb.org/v10?query=5928at50557	E3 ubiquitin-protein ligase UBR2
6239at50557	Complete	SUPER_X	12729064	12735612	+	1379.8	1170	https://www.orthodb.org/v10?query=6239at50557	Brefeldin A-inhibited guanine nucleotide-exchange protein 3
6416at50557	Duplicated	SUPER_2:20111008-20114805|-	20114805	20111008	-	1544.9	1042	https://www.orthodb.org/v10?query=6416at50557	vigilin
6416at50557	Duplicated	SUPER_GRC2	24265618	24296198	+	1502.7	1017	https://www.orthodb.org/v10?query=6416at50557	vigilin
6417at50557	Complete	SUPER_2	18495032	18492541	-	845.8	473	https://www.orthodb.org/v10?query=6417at50557	transcription initiation factor TFIID subunit 2
6568at50557	Duplicated	SUPER_1	91513229	91500504	-	1577.5	1010	https://www.orthodb.org/v10?query=6568at50557	cullin-associated NEDD8-dissociated protein 1
6568at50557	Duplicated	SUPER_GRC2:77494554-77501447|-	77501447	77494554	-	1412.2	1002	https://www.orthodb.org/v10?query=6568at50557	cullin-associated NEDD8-dissociated protein 1
7053at50557	Duplicated	SUPER_X	14550571	14543764	-	902.1	704	https://www.orthodb.org/v10?query=7053at50557	Transmembrane protein 132
7053at50557	Duplicated	SUPER_GRC1	27063977	27056298	-	821.1	683	https://www.orthodb.org/v10?query=7053at50557	Transmembrane protein 132
7307at50557	Complete	SUPER_1	91027042	91034209	+	1230.5	784	https://www.orthodb.org/v10?query=7307at50557	leucine--tRNA ligase, cytoplasmic
7320at50557	Complete	SUPER_2	29260488	29251909	-	1245.4	815	https://www.orthodb.org/v10?query=7320at50557	JNK-interacting protein 3 isoform X1
7376at50557	Duplicated	SUPER_GRC2	9531093	9491243	-	1926.0	1142	https://www.orthodb.org/v10?query=7376at50557	Leucine-rich repeat
7376at50557	Duplicated	SUPER_1	69706781	69643224	-	1925.8	1130	https://www.orthodb.org/v10?query=7376at50557	Leucine-rich repeat
7426at50557	Duplicated	SUPER_GRC2	96757649	96754065	-	1117.4	757	https://www.orthodb.org/v10?query=7426at50557	DNA polymerase subunit gamma-1, mitochondrial
7426at50557	Duplicated	SUPER_X	49743917	49747646	+	1203.9	747	https://www.orthodb.org/v10?query=7426at50557	DNA polymerase subunit gamma-1, mitochondrial
7704at50557	Complete	SUPER_X	6895906	6907725	+	972.4	901	https://www.orthodb.org/v10?query=7704at50557	rapamycin-insensitive companion of mTOR
7835at50557	Complete	SUPER_X	5357623	5353663	-	1002.7	693	https://www.orthodb.org/v10?query=7835at50557	regulator of nonsense transcripts 2
7968at50557	Complete	SUPER_1	71509056	71505515	-	268.0	621	https://www.orthodb.org/v10?query=7968at50557	WASH complex subunit 7
8280at50557	Duplicated	SUPER_GRC1	23570813	23555965	-	1420.1	1150	https://www.orthodb.org/v10?query=8280at50557	chaoptin
8280at50557	Duplicated	SUPER_X	37432034	37447181	+	1309.0	962	https://www.orthodb.org/v10?query=8280at50557	chaoptin
8312at50557	Complete	SUPER_3	14073037	14078799	+	633.7	687	https://www.orthodb.org/v10?query=8312at50557	Elongator complex protein 1
8417at50557	Duplicated	SUPER_GRC1	3431451	3436107	+	1227.7	840	https://www.orthodb.org/v10?query=8417at50557	integrator complex subunit 2
8417at50557	Duplicated	SUPER_3	11064208	11060653	-	1232.1	839	https://www.orthodb.org/v10?query=8417at50557	integrator complex subunit 2
8417at50557	Duplicated	SUPER_GRC2	66341192	66344870	+	1206.4	833	https://www.orthodb.org/v10?query=8417at50557	integrator complex subunit 2
8547at50557	Complete	SUPER_1	65363595	65359240	-	490.0	585	https://www.orthodb.org/v10?query=8547at50557	tyrosine-protein kinase hopscotch
8602at50557	Duplicated	SUPER_2	9320555	9333026	+	1166.0	680	https://www.orthodb.org/v10?query=8602at50557	Zona pellucida domain
8602at50557	Duplicated	SUPER_GRC1	57793893	57821399	+	1149.0	680	https://www.orthodb.org/v10?query=8602at50557	Zona pellucida domain
8655at50557	Complete	SUPER_3	21847231	21859877	+	1524.0	1085	https://www.orthodb.org/v10?query=8655at50557	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1
8717at50557	Duplicated	SUPER_2	13721810	13692928	-	1811.9	1014	https://www.orthodb.org/v10?query=8717at50557	Ras guanine-nucleotide exchange factor catalytic domain superfamily
8717at50557	Duplicated	SUPER_GRC1	50072047	50079047	+	1733.5	1014	https://www.orthodb.org/v10?query=8717at50557	Ras guanine-nucleotide exchange factor catalytic domain superfamily
8721at50557	Duplicated	SUPER_1	57160165	57169289	+	1090.7	797	https://www.orthodb.org/v10?query=8721at50557	Golgi apparatus protein 1
8721at50557	Duplicated	SUPER_2	34414546	34385314	-	1101.1	744	https://www.orthodb.org/v10?query=8721at50557	Golgi apparatus protein 1
8842at50557	Duplicated	SUPER_X	12542760	12529369	-	1153.0	875	https://www.orthodb.org/v10?query=8842at50557	transmembrane protein 94 isoform X1
8842at50557	Duplicated	SUPER_GRC2	96742063	96736792	-	1064.5	860	https://www.orthodb.org/v10?query=8842at50557	transmembrane protein 94 isoform X1
8842at50557	Duplicated	SUPER_GRC2	46774921	46780530	+	1068.7	857	https://www.orthodb.org/v10?query=8842at50557	transmembrane protein 94 isoform X1
9432at50557	Complete	SUPER_2	39336096	39342476	+	1330.3	1234	https://www.orthodb.org/v10?query=9432at50557	integrator complex subunit 1
9680at50557	Duplicated	SUPER_2	25484579	25491404	+	904.3	641	https://www.orthodb.org/v10?query=9680at50557	EGF-like, conserved site
9680at50557	Duplicated	SUPER_GRC2	86408685	86418200	+	845.7	639	https://www.orthodb.org/v10?query=9680at50557	EGF-like, conserved site
9680at50557	Duplicated	SUPER_GRC1	58814680	58801478	-	845.9	628	https://www.orthodb.org/v10?query=9680at50557	EGF-like, conserved site
9996at50557	Duplicated	SUPER_GRC1	9058552	9055123	-	1350.9	865	https://www.orthodb.org/v10?query=9996at50557	exportin-1
9996at50557	Duplicated	SUPER_1	42018431	42011678	-	1415.6	864	https://www.orthodb.org/v10?query=9996at50557	exportin-1
9996at50557	Duplicated	SUPER_GRC2	10969587	10965926	-	1364.1	829	https://www.orthodb.org/v10?query=9996at50557	exportin-1
10008at50557	Complete	SUPER_X	44567468	44557544	-	1101.3	833	https://www.orthodb.org/v10?query=10008at50557	type I inositol 3,4-bisphosphate 4-phosphatase isoform X1
10268at50557	Duplicated	SUPER_2	6581495	6577497	-	1280.9	773	https://www.orthodb.org/v10?query=10268at50557	synaptojanin-1
10268at50557	Duplicated	SUPER_GRC2	104049593	104045574	-	1257.5	773	https://www.orthodb.org/v10?query=10268at50557	synaptojanin-1
10394at50557	Complete	SUPER_X	41425931	41438658	+	681.2	633	https://www.orthodb.org/v10?query=10394at50557	partitioning defective 3 homolog
10664at50557	Duplicated	SUPER_GRC2	34686310	34677364	-	1515.7	937	https://www.orthodb.org/v10?query=10664at50557	importin-5
10664at50557	Duplicated	SUPER_3	55785680	55793719	+	1549.3	936	https://www.orthodb.org/v10?query=10664at50557	importin-5
10915at50557	Complete	SUPER_2	35881732	35875846	-	1242.5	973	https://www.orthodb.org/v10?query=10915at50557	intraflagellar transport protein 122 homolog
10998at50557	Duplicated	SUPER_GRC2	25831368	25839636	+	319.3	269	https://www.orthodb.org/v10?query=10998at50557	rho guanine nucleotide exchange factor 18
10998at50557	Duplicated	SUPER_GRC1	74750544	74751959	+	313.5	269	https://www.orthodb.org/v10?query=10998at50557	rho guanine nucleotide exchange factor 18
10998at50557	Duplicated	SUPER_GRC1	60748028	60759199	+	300.8	269	https://www.orthodb.org/v10?query=10998at50557	rho guanine nucleotide exchange factor 18
10998at50557	Duplicated	SUPER_2	17502011	17516024	+	296.9	269	https://www.orthodb.org/v10?query=10998at50557	rho guanine nucleotide exchange factor 18
11128at50557	Complete	SUPER_3	54054968	54102333	+	1051.4	645	https://www.orthodb.org/v10?query=11128at50557	disheveled-associated activator of morphogenesis 1 isoform X1
11161at50557	Complete	SUPER_2	1996923	1991162	-	1273.7	833	https://www.orthodb.org/v10?query=11161at50557	importin-7
11224at50557	Duplicated	SUPER_GRC1	61610270	61617170	+	1184.5	680	https://www.orthodb.org/v10?query=11224at50557	CUB domain
11224at50557	Duplicated	SUPER_1	46393879	46477787	+	1098.6	620	https://www.orthodb.org/v10?query=11224at50557	CUB domain
11224at50557	Duplicated	SUPER_1	46235683	46330018	+	1098.4	613	https://www.orthodb.org/v10?query=11224at50557	CUB domain
11473at50557	Complete	SUPER_2	555973	551394	-	419.4	276	https://www.orthodb.org/v10?query=11473at50557	Zinc finger, RING-type
11478at50557	Complete	SUPER_2	12114293	12118619	+	1288.1	921	https://www.orthodb.org/v10?query=11478at50557	WD repeat-containing protein 35
11510at50557	Complete	SUPER_1	41601358	41634013	+	1811.9	1036	https://www.orthodb.org/v10?query=11510at50557	neuropathy target esterase sws isoform X1
11763at50557	Duplicated	SUPER_GRC1	26816650	26825810	+	1427.5	847	https://www.orthodb.org/v10?query=11763at50557	FACT complex subunit spt16 isoform X1
11763at50557	Duplicated	SUPER_2	30846014	30841192	-	1522.4	842	https://www.orthodb.org/v10?query=11763at50557	FACT complex subunit spt16 isoform X1
12010at50557	Duplicated	SUPER_GRC2	84137534	84134457	-	799.3	624	https://www.orthodb.org/v10?query=12010at50557	vacuolar protein sorting-associated protein 54
12010at50557	Duplicated	SUPER_GRC1	1221909	1224964	+	787.2	624	https://www.orthodb.org/v10?query=12010at50557	vacuolar protein sorting-associated protein 54
12010at50557	Duplicated	SUPER_1	42190760	42182732	-	844.5	620	https://www.orthodb.org/v10?query=12010at50557	vacuolar protein sorting-associated protein 54
12051at50557	Complete	SUPER_1	64308096	64293286	-	1549.8	756	https://www.orthodb.org/v10?query=12051at50557	AP-2 complex subunit alpha
12236at50557	Complete	SUPER_X	246787	261608	+	1037.5	579	https://www.orthodb.org/v10?query=12236at50557	Coatomer subunit beta
12466at50557	Duplicated	SUPER_1	15575313	15565765	-	1358.5	876	https://www.orthodb.org/v10?query=12466at50557	DENN domain-containing protein 5B isoform X1
12466at50557	Duplicated	SUPER_GRC1	54772911	54779928	+	1350.2	876	https://www.orthodb.org/v10?query=12466at50557	DENN domain-containing protein 5B isoform X1
12503at50557	Complete	SUPER_2	20208923	20220393	+	953.6	590	https://www.orthodb.org/v10?query=12503at50557	Mediator of RNA polymerase II transcription subunit 13
12555at50557	Complete	SUPER_X	8204482	8211925	+	672.0	438	https://www.orthodb.org/v10?query=12555at50557	Ankyrin repeat-containing domain
12735at50557	Duplicated	SUPER_X	27467792	27465437	-	621.0	314	https://www.orthodb.org/v10?query=12735at50557	WD40-repeat-containing domain
12735at50557	Duplicated	SUPER_GRC1	25887288	25889433	+	607.8	314	https://www.orthodb.org/v10?query=12735at50557	WD40-repeat-containing domain
12821at50557	Complete	SUPER_1	77326072	77331662	+	819.6	486	https://www.orthodb.org/v10?query=12821at50557	cold shock domain-containing protein E1
13112at50557	Duplicated	SUPER_2	33312307	33313828	+	629.3	307	https://www.orthodb.org/v10?query=13112at50557	Toll/interleukin-1 receptor homology (TIR) domain
13112at50557	Duplicated	SUPER_GRC1	31581440	31583081	+	585.5	307	https://www.orthodb.org/v10?query=13112at50557	Toll/interleukin-1 receptor homology (TIR) domain
13158at50557	Complete	SUPER_1	3238363	3192929	-	1100.7	638	https://www.orthodb.org/v10?query=13158at50557	Carboxylesterase, type B
13223at50557	Complete	SUPER_X	32935330	32947114	+	945.8	639	https://www.orthodb.org/v10?query=13223at50557	integrator complex subunit 6
13553at50557	Complete	SUPER_X	31835323	31832325	-	1084.3	714	https://www.orthodb.org/v10?query=13553at50557	WD repeat-containing protein 36
13582at50557	Duplicated	SUPER_1	12446256	12449398	+	572.4	452	https://www.orthodb.org/v10?query=13582at50557	ubiquitin carboxyl-terminal hydrolase 20
13582at50557	Duplicated	SUPER_GRC1	60776534	60780530	+	572.6	451	https://www.orthodb.org/v10?query=13582at50557	ubiquitin carboxyl-terminal hydrolase 20
13612at50557	Duplicated	SUPER_GRC1	1582187	1578363	-	716.1	541	https://www.orthodb.org/v10?query=13612at50557	DNA repair protein complementing XP-G cells homolog
13612at50557	Duplicated	SUPER_GRC2	60649726	60653516	+	711.4	541	https://www.orthodb.org/v10?query=13612at50557	DNA repair protein complementing XP-G cells homolog
13612at50557	Duplicated	SUPER_GRC2	74345091	74349183	+	707.5	540	https://www.orthodb.org/v10?query=13612at50557	DNA repair protein complementing XP-G cells homolog
13612at50557	Duplicated	SUPER_1	22197746	22194313	-	671.4	539	https://www.orthodb.org/v10?query=13612at50557	DNA repair protein complementing XP-G cells homolog
13625at50557	Duplicated	SUPER_GRC1	55192373	55188663	-	1103.4	718	https://www.orthodb.org/v10?query=13625at50557	periodic tryptophan protein 2 homolog
13625at50557	Duplicated	SUPER_GRC2	64272442	64268893	-	1067.0	716	https://www.orthodb.org/v10?query=13625at50557	periodic tryptophan protein 2 homolog
13625at50557	Duplicated	SUPER_GRC1	10040954	10036260	-	1061.2	714	https://www.orthodb.org/v10?query=13625at50557	periodic tryptophan protein 2 homolog
13625at50557	Duplicated	SUPER_1	26218748	26226681	+	1134.3	708	https://www.orthodb.org/v10?query=13625at50557	periodic tryptophan protein 2 homolog
13778at50557	Duplicated	SUPER_3	37558863	37555984	-	1105.3	744	https://www.orthodb.org/v10?query=13778at50557	protein unc-45 homolog B
13778at50557	Duplicated	SUPER_GRC1	44623945	44621104	-	1066.8	744	https://www.orthodb.org/v10?query=13778at50557	protein unc-45 homolog B
13828at50557	Duplicated	SUPER_GRC1	23760779	23735307	-	912.5	548	https://www.orthodb.org/v10?query=13828at50557	membrane-bound transcription factor site-1 protease
13828at50557	Duplicated	SUPER_1	54237273	54232933	-	904.6	535	https://www.orthodb.org/v10?query=13828at50557	membrane-bound transcription factor site-1 protease
13828at50557	Duplicated	SUPER_GRC1	4557781	4593520	+	900.1	535	https://www.orthodb.org/v10?query=13828at50557	membrane-bound transcription factor site-1 protease
13892at50557	Duplicated	SUPER_GRC1	60981247	60978071	-	1035.6	660	https://www.orthodb.org/v10?query=13892at50557	protein O-GlcNAcase isoform X1
13892at50557	Duplicated	SUPER_X	30811182	30807798	-	1033.0	658	https://www.orthodb.org/v10?query=13892at50557	protein O-GlcNAcase isoform X1
14125at50557	Duplicated	SUPER_X	21432025	21427650	-	561.5	489	https://www.orthodb.org/v10?query=14125at50557	protein kibra
14125at50557	Duplicated	SUPER_GRC2	21121583	21117900	-	546.2	489	https://www.orthodb.org/v10?query=14125at50557	protein kibra
14125at50557	Duplicated	SUPER_GRC2	21128755	21125821	-	549.9	488	https://www.orthodb.org/v10?query=14125at50557	protein kibra
14125at50557	Duplicated	SUPER_GRC2	27828047	27825382	-	498.0	432	https://www.orthodb.org/v10?query=14125at50557	protein kibra
14133at50557	Duplicated	SUPER_X	62155957	62150443	-	440.8	279	https://www.orthodb.org/v10?query=14133at50557	Zinc finger C2H2 superfamily
14133at50557	Duplicated	SUPER_GRC1	68644848	68631260	-	465.0	274	https://www.orthodb.org/v10?query=14133at50557	Zinc finger C2H2 superfamily
14133at50557	Duplicated	SUPER_GRC1	3297317	3292113	-	453.8	274	https://www.orthodb.org/v10?query=14133at50557	Zinc finger C2H2 superfamily
14335at50557	Complete	SUPER_1	91336407	91333344	-	834.7	643	https://www.orthodb.org/v10?query=14335at50557	Exocyst complex component 2
14380at50557	Complete	SUPER_2	46487530	46483484	-	455.9	395	https://www.orthodb.org/v10?query=14380at50557	EGF-like calcium-binding, conserved site
14512at50557	Duplicated	SUPER_GRC2	90156921	90160573	+	574.0	488	https://www.orthodb.org/v10?query=14512at50557	Katanin p80 WD40 repeat-containing subunit B1
14512at50557	Duplicated	SUPER_X	22690447	22695483	+	508.3	477	https://www.orthodb.org/v10?query=14512at50557	Katanin p80 WD40 repeat-containing subunit B1
14653at50557	Complete	SUPER_1	24966027	24961055	-	1133.7	835	https://www.orthodb.org/v10?query=14653at50557	protein brunelleschi
14825at50557	Duplicated	SUPER_GRC1	25077049	25073225	-	474.4	413	https://www.orthodb.org/v10?query=14825at50557	Saposin B type domain
14825at50557	Duplicated	SUPER_X	59813431	59794006	-	495.6	402	https://www.orthodb.org/v10?query=14825at50557	Saposin B type domain
15309at50557	Complete	SUPER_1	57835981	57838960	+	730.9	443	https://www.orthodb.org/v10?query=15309at50557	aspartate--tRNA ligase, mitochondrial
15331at50557	Complete	SUPER_GRC2	34709144	34699478	-	1052.2	682	https://www.orthodb.org/v10?query=15331at50557	protein CLEC16A isoform X1
15341at50557	Complete	SUPER_X	53241508	53240448	-	471.6	229	https://www.orthodb.org/v10?query=15341at50557	protein phosphatase Slingshot isoform X1
15445at50557	Duplicated	SUPER_3	47025381	47021848	-	1230.8	731	https://www.orthodb.org/v10?query=15445at50557	RNA cytidine acetyltransferase
15445at50557	Duplicated	SUPER_GRC2	76167178	76163724	-	1221.1	715	https://www.orthodb.org/v10?query=15445at50557	RNA cytidine acetyltransferase
15532at50557	Complete	SUPER_1	83593517	83596371	+	1062.3	727	https://www.orthodb.org/v10?query=15532at50557	polyphosphoinositide phosphatase
15573at50557	Complete	SUPER_3	18061681	18057124	-	391.5	316	https://www.orthodb.org/v10?query=15573at50557	Rho GTPase-activating protein 26
15589at50557	Duplicated	SUPER_GRC1	57667144	57669684	+	1312.6	715	https://www.orthodb.org/v10?query=15589at50557	pre-mRNA-splicing factor SYF1
15589at50557	Duplicated	SUPER_1	11942311	11939607	-	1339.6	693	https://www.orthodb.org/v10?query=15589at50557	pre-mRNA-splicing factor SYF1
15684at50557	Duplicated	SUPER_1	73476041	73487592	+	1018.9	792	https://www.orthodb.org/v10?query=15684at50557	DNA-directed RNA polymerase
15684at50557	Duplicated	SUPER_GRC1	10225899	10229310	+	918.2	787	https://www.orthodb.org/v10?query=15684at50557	DNA-directed RNA polymerase
15684at50557	Duplicated	SUPER_GRC1	7933517	7937126	+	876.5	705	https://www.orthodb.org/v10?query=15684at50557	DNA-directed RNA polymerase
15684at50557	Duplicated	SUPER_GRC1	69417077	69414402	-	925.7	662	https://www.orthodb.org/v10?query=15684at50557	DNA-directed RNA polymerase
15817at50557	Complete	SUPER_2	200451	190998	-	1463.0	789	https://www.orthodb.org/v10?query=15817at50557	ras GTPase-activating protein 1
