# BUSCO version is: 5.5.0 
# The lineage dataset is: insecta_odb10 (Creation date: 2020-09-10, number of genomes: 75, number of BUSCOs: 1367)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
47at50557	Complete	47at50557_64459_0:001525|scaffold_2:14207750-14247388	14207750	14247388	-	13791	4367	https://www.orthodb.org/v10?query=47at50557	Immunoglobulin-like domain
547at50557	Complete	547at50557_34740_0:001b20|scaffold_3:16415904-16442653	16415904	16442653	-	7892	2362	https://www.orthodb.org/v10?query=547at50557	protein unc-80 homolog
755at50557	Complete	755at50557_516756_0:0004cb|scaffold_1:15783109-15826635	15783109	15826635	-	8099	2333	https://www.orthodb.org/v10?query=755at50557	SRCR-like domain
767at50557	Complete	767at50557_7395_0:0025ef|scaffold_4:46755067-46777887	46755067	46777887	+	10359	2369	https://www.orthodb.org/v10?query=767at50557	WD40-repeat-containing domain
888at50557	Complete	888at50557_13164_0:000855|scaffold_4:38441442-38449911	38441442	38449911	+	5443	1739	https://www.orthodb.org/v10?query=888at50557	probable ubiquitin carboxyl-terminal hydrolase FAF-X
966at50557	Complete	966at50557_7168_0:0007c6|scaffold_1:55595354-55626700	55595354	55626700	+	5752	1788	https://www.orthodb.org/v10?query=966at50557	leucine-rich repeat serine/threonine-protein kinase 1
983at50557	Complete	983at50557_28612_0:002e12|scaffold_2:20260258-20268639	20260258	20268639	+	11440	1971	https://www.orthodb.org/v10?query=983at50557	pre-mRNA-processing-splicing factor 8
1451at50557	Complete	1451at50557_13037_0:000c94|scaffold_2:41005728-41014238	41005728	41014238	-	4511	1966	https://www.orthodb.org/v10?query=1451at50557	small subunit processome component 20 homolog
1593at50557	Complete	1593at50557_680683_0:001fa0|scaffold_3:24736967-24743411	24736967	24743411	+	3639	978	https://www.orthodb.org/v10?query=1593at50557	cadherin-89D
1621at50557	Complete	1621at50557_13249_0:001e48|scaffold_2:40587413-40597509	40587413	40597509	+	7222	2380	https://www.orthodb.org/v10?query=1621at50557	GPCR, family 2, extracellular hormone receptor domain
1859at50557	Complete	1859at50557_166361_0:000154|scaffold_2:55407180-55436109	55407180	55436109	+	4544	1411	https://www.orthodb.org/v10?query=1859at50557	Zinc finger C2H2 superfamily
1997at50557	Complete	1997at50557_7029_0:0011a4|scaffold_3:56154916-56179960	56154916	56179960	-	7170	1790	https://www.orthodb.org/v10?query=1997at50557	protein sidekick isoform X1
2098at50557	Complete	2098at50557_7536_0:00226a|scaffold_4:21775198-21790214	21775198	21790214	+	3821	870	https://www.orthodb.org/v10?query=2098at50557	pecanex-like protein 1 isoform X1
2101at50557	Complete	2101at50557_67767_0:000752|scaffold_3:13505707-13512221	13505707	13512221	-	2990	1346	https://www.orthodb.org/v10?query=2101at50557	serine/threonine-protein kinase SMG1
2110at50557	Complete	2110at50557_166361_0:002ee0|scaffold_1:48407532-48414232	48407532	48414232	+	3271	1271	https://www.orthodb.org/v10?query=2110at50557	proteasome-associated protein ECM29 homolog
2168at50557	Complete	2168at50557_76194_0:001807|scaffold_2:43237657-43245325	43237657	43245325	-	2788	915	https://www.orthodb.org/v10?query=2168at50557	DNA polymerase
2187at50557	Complete	2187at50557_2015173_0:001137|scaffold_3:49618412-49627678	49618412	49627678	-	7813	2113	https://www.orthodb.org/v10?query=2187at50557	eIF-2-alpha kinase activator GCN1
2339at50557	Complete	2339at50557_1041015_0:002cc3|scaffold_4:33531791-33545452	33531791	33545452	-	7790	1431	https://www.orthodb.org/v10?query=2339at50557	Clathrin heavy chain
2418at50557	Complete	2418at50557_166423_0:000289|scaffold_2:43006245-43013029	43006245	43013029	+	3482	1271	https://www.orthodb.org/v10?query=2418at50557	trichohyalin isoform X1
2648at50557	Complete	2648at50557_45779_0:0017b2|scaffold_1:57062764-57106568	57062764	57106568	+	6968	1457	https://www.orthodb.org/v10?query=2648at50557	Ankyrin repeat-containing domain
2741at50557	Complete	2741at50557_52612_0:0037a9|scaffold_1:73580698-73585720	73580698	73585720	+	4504	980	https://www.orthodb.org/v10?query=2741at50557	brefeldin A-inhibited guanine nucleotide-exchange protein 1
2744at50557	Complete	2744at50557_29058_0:000dda|scaffold_2:50836141-50845659	50836141	50845659	+	5366	1807	https://www.orthodb.org/v10?query=2744at50557	dnaJ homolog subfamily C member 13
2843at50557	Complete	2843at50557_37001_0:0028c8|scaffold_2:37693969-37701754	37693969	37701754	+	4561	992	https://www.orthodb.org/v10?query=2843at50557	nucleosome-remodeling factor subunit NURF301 isoform X1
3565at50557	Complete	3565at50557_132113_0:002df0|scaffold_4:49895429-49904511	49895429	49904511	+	3299	1049	https://www.orthodb.org/v10?query=3565at50557	DENN domain-containing protein 4C isoform X1
4042at50557	Complete	4042at50557_7425_0:00070d|scaffold_3:55064123-55068040	55064123	55068040	+	1664	757	https://www.orthodb.org/v10?query=4042at50557	attractin-like protein 1
4137at50557	Complete	4137at50557_28612_0:00066d|scaffold_2:12366452-12415220	12366452	12415220	+	7537	2662	https://www.orthodb.org/v10?query=4137at50557	Thioredoxin domain
4709at50557	Complete	4709at50557_13037_0:0018d2|scaffold_1:1904784-1909565	1904784	1909565	-	2225	1015	https://www.orthodb.org/v10?query=4709at50557	nuclear pore complex protein Nup155
4831at50557	Complete	4831at50557_123851_0:0002c4|scaffold_1:23073967-23077516	23073967	23077516	+	4300	888	https://www.orthodb.org/v10?query=4831at50557	chromodomain-helicase-DNA-binding protein 1
5495at50557	Complete	5495at50557_139723_0:00049d|scaffold_3:52495884-52501620	52495884	52501620	+	5924	1139	https://www.orthodb.org/v10?query=5495at50557	splicing factor 3B subunit 1
