# BUSCO version is: 5.7.0 
# The lineage dataset is: insecta_odb10 (Creation date: 2020-09-10, number of genomes: 75, number of BUSCOs: 1367)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
47at50557	Complete	SUPER_2	54334788	54362573	+	4784.8	2915	https://www.orthodb.org/v10?query=47at50557	Immunoglobulin-like domain
547at50557	Duplicated	SUPER_GRC1	6493550	6481549	-	3472.2	2317	https://www.orthodb.org/v10?query=547at50557	protein unc-80 homolog
547at50557	Duplicated	SUPER_X	66832024	66852611	+	3391.1	2262	https://www.orthodb.org/v10?query=547at50557	protein unc-80 homolog
755at50557	Complete	SUPER_1	30596772	30637547	+	3176.5	2232	https://www.orthodb.org/v10?query=755at50557	SRCR-like domain
767at50557	Complete	SUPER_3	35842102	35857723	+	3678.2	2257	https://www.orthodb.org/v10?query=767at50557	WD40-repeat-containing domain
888at50557	Complete	SUPER_3	41759739	41770598	+	2496.3	1711	https://www.orthodb.org/v10?query=888at50557	probable ubiquitin carboxyl-terminal hydrolase FAF-X
966at50557	Complete	SUPER_1	22527883	22538680	+	2000.6	1639	https://www.orthodb.org/v10?query=966at50557	leucine-rich repeat serine/threonine-protein kinase 1
983at50557	Complete	SUPER_2	29661519	29653101	-	4025.8	1888	https://www.orthodb.org/v10?query=983at50557	pre-mRNA-processing-splicing factor 8
1451at50557	Complete	SUPER_2	36895772	36903934	+	1798.0	1907	https://www.orthodb.org/v10?query=1451at50557	small subunit processome component 20 homolog
1593at50557	Duplicated	SUPER_X	59548838	59542766	-	791.1	805	https://www.orthodb.org/v10?query=1593at50557	cadherin-89D
1593at50557	Duplicated	SUPER_GRC1	22529873	22543929	+	771.3	801	https://www.orthodb.org/v10?query=1593at50557	cadherin-89D
1621at50557	Complete	SUPER_2	37296256	37278323	-	3412.1	2244	https://www.orthodb.org/v10?query=1621at50557	GPCR, family 2, extracellular hormone receptor domain
1859at50557	Duplicated	SUPER_2	13272889	13290436	+	1326.0	1002	https://www.orthodb.org/v10?query=1859at50557	Zinc finger C2H2 superfamily
1859at50557	Duplicated	SUPER_GRC1	26249181	26192648	-	1257.5	992	https://www.orthodb.org/v10?query=1859at50557	Zinc finger C2H2 superfamily
1997at50557	Complete	SUPER_X	19731161	19761896	+	2827.5	1712	https://www.orthodb.org/v10?query=1997at50557	protein sidekick isoform X1
2098at50557	Complete	SUPER_3	24255729	24250686	-	1343.3	853	https://www.orthodb.org/v10?query=2098at50557	pecanex-like protein 1 isoform X1
2101at50557	Complete	SUPER_X	64775416	64792890	+	1380.4	1378	https://www.orthodb.org/v10?query=2101at50557	serine/threonine-protein kinase SMG1
2110at50557	Complete	SUPER_1	32449287	32443290	-	1309.2	1140	https://www.orthodb.org/v10?query=2110at50557	proteasome-associated protein ECM29 homolog
2168at50557	Complete	SUPER_2	34357763	34386569	+	1310.6	920	https://www.orthodb.org/v10?query=2168at50557	DNA polymerase
2187at50557	Complete	SUPER_X	8089832	8077946	-	3274.6	2034	https://www.orthodb.org/v10?query=2187at50557	eIF-2-alpha kinase activator GCN1
2339at50557	Complete	SUPER_3	38529343	38523232	-	2657.5	1412	https://www.orthodb.org/v10?query=2339at50557	Clathrin heavy chain
2418at50557	Duplicated	SUPER_GRC2	29783064	29804623	+	1283.9	1069	https://www.orthodb.org/v10?query=2418at50557	trichohyalin isoform X1
2418at50557	Duplicated	SUPER_2	34621814	34597447	-	1213.6	1062	https://www.orthodb.org/v10?query=2418at50557	trichohyalin isoform X1
2648at50557	Complete	SUPER_1	75537468	75571575	+	2413.2	1243	https://www.orthodb.org/v10?query=2648at50557	Ankyrin repeat-containing domain
2741at50557	Complete	SUPER_1	11586176	11591590	+	1775.5	971	https://www.orthodb.org/v10?query=2741at50557	brefeldin A-inhibited guanine nucleotide-exchange protein 1
2744at50557	Complete	SUPER_2	15330236	15339760	+	2476.1	1759	https://www.orthodb.org/v10?query=2744at50557	dnaJ homolog subfamily C member 13
2843at50557	Duplicated	SUPER_2	40311649	40306442	-	1317.0	944	https://www.orthodb.org/v10?query=2843at50557	nucleosome-remodeling factor subunit NURF301 isoform X1
