# BUSCO version is: 5.7.0 
# The lineage dataset is: insecta_odb10 (Creation date: 2020-09-10, number of genomes: 75, number of BUSCOs: 1367)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
47at50557	Complete	SUPER_2	10538047	10500808	-	4766.5	2893	https://www.orthodb.org/v10?query=47at50557	Immunoglobulin-like domain
547at50557	Complete	SUPER_X	19927307	19878928	-	3575.2	2313	https://www.orthodb.org/v10?query=547at50557	protein unc-80 homolog
755at50557	Complete	SUPER_1	70675769	70647551	-	3168.1	2236	https://www.orthodb.org/v10?query=755at50557	SRCR-like domain
767at50557	Complete	SUPER_3	30881743	30902864	+	3612.3	2244	https://www.orthodb.org/v10?query=767at50557	WD40-repeat-containing domain
888at50557	Complete	SUPER_3	28715030	28729467	+	2508.9	1732	https://www.orthodb.org/v10?query=888at50557	probable ubiquitin carboxyl-terminal hydrolase FAF-X
966at50557	Complete	SUPER_1	64963194	65001610	+	2209.7	1716	https://www.orthodb.org/v10?query=966at50557	leucine-rich repeat serine/threonine-protein kinase 1
983at50557	Complete	SUPER_2	16957173	16969539	+	4027.6	1888	https://www.orthodb.org/v10?query=983at50557	pre-mRNA-processing-splicing factor 8
1451at50557	Complete	SUPER_2	37978468	37965765	-	1880.8	1967	https://www.orthodb.org/v10?query=1451at50557	small subunit processome component 20 homolog
1593at50557	Complete	SUPER_X	27720910	27731016	+	770.3	805	https://www.orthodb.org/v10?query=1593at50557	cadherin-89D
1621at50557	Complete	SUPER_2	37611842	37624082	+	3361.4	2244	https://www.orthodb.org/v10?query=1621at50557	GPCR, family 2, extracellular hormone receptor domain
1859at50557	Complete	SUPER_2	51163526	51196290	+	1601.3	1092	https://www.orthodb.org/v10?query=1859at50557	Zinc finger C2H2 superfamily
1997at50557	Duplicated	SUPER_X	47405412	47388212	-	2856.4	1712	https://www.orthodb.org/v10?query=1997at50557	protein sidekick isoform X1
1997at50557	Duplicated	SUPER_GRC	73417252	73371831	-	2814.7	1712	https://www.orthodb.org/v10?query=1997at50557	protein sidekick isoform X1
1997at50557	Duplicated	SUPER_GRC	70902079	70886695	-	2813.7	1712	https://www.orthodb.org/v10?query=1997at50557	protein sidekick isoform X1
2098at50557	Complete	SUPER_3	12661618	12670944	+	1389.4	854	https://www.orthodb.org/v10?query=2098at50557	pecanex-like protein 1 isoform X1
2101at50557	Complete	SUPER_X	16957186	16939762	-	1394.5	1375	https://www.orthodb.org/v10?query=2101at50557	serine/threonine-protein kinase SMG1
2110at50557	Complete	SUPER_1	49943164	49935730	-	1311.7	1147	https://www.orthodb.org/v10?query=2110at50557	proteasome-associated protein ECM29 homolog
2168at50557	Complete	SUPER_2	40338162	40323810	-	1303.7	909	https://www.orthodb.org/v10?query=2168at50557	DNA polymerase
2187at50557	Duplicated	SUPER_X	40944541	40935366	-	3308.4	2088	https://www.orthodb.org/v10?query=2187at50557	eIF-2-alpha kinase activator GCN1
2187at50557	Duplicated	SUPER_GRC	81195968	81210254	+	3339.1	2035	https://www.orthodb.org/v10?query=2187at50557	eIF-2-alpha kinase activator GCN1
2339at50557	Complete	SUPER_3	23999678	23992606	-	2681.2	1412	https://www.orthodb.org/v10?query=2339at50557	Clathrin heavy chain
2418at50557	Complete	SUPER_2	40129738	40148151	+	1189.5	1062	https://www.orthodb.org/v10?query=2418at50557	trichohyalin isoform X1
2648at50557	Duplicated	SUPER_GRC	3359362	3399180	+	2440.9	1243	https://www.orthodb.org/v10?query=2648at50557	Ankyrin repeat-containing domain
2648at50557	Duplicated	SUPER_1	2286010	2226271	-	2381.5	1243	https://www.orthodb.org/v10?query=2648at50557	Ankyrin repeat-containing domain
2741at50557	Complete	SUPER_1	26845541	26854713	+	1769.1	971	https://www.orthodb.org/v10?query=2741at50557	brefeldin A-inhibited guanine nucleotide-exchange protein 1
2744at50557	Complete	SUPER_2	46848210	46860929	+	2454.8	1759	https://www.orthodb.org/v10?query=2744at50557	dnaJ homolog subfamily C member 13
2843at50557	Complete	SUPER_2	34713008	34718813	+	1326.4	943	https://www.orthodb.org/v10?query=2843at50557	nucleosome-remodeling factor subunit NURF301 isoform X1
3565at50557	Complete	SUPER_3	33663690	33673052	+	1397.4	1024	https://www.orthodb.org/v10?query=3565at50557	DENN domain-containing protein 4C isoform X1
4042at50557	Duplicated	SUPER_X	46296902	46300919	+	877.7	651	https://www.orthodb.org/v10?query=4042at50557	attractin-like protein 1
4042at50557	Duplicated	SUPER_GRC	70679632	70638860	-	859.6	651	https://www.orthodb.org/v10?query=4042at50557	attractin-like protein 1
4042at50557	Duplicated	SUPER_GRC	72254725	72261167	+	841.2	651	https://www.orthodb.org/v10?query=4042at50557	attractin-like protein 1
4137at50557	Complete	SUPER_2	8606034	8632145	+	2443.9	1383	https://www.orthodb.org/v10?query=4137at50557	Thioredoxin domain
4709at50557	Complete	SUPER_1	90847948	90840040	-	1147.0	1002	https://www.orthodb.org/v10?query=4709at50557	nuclear pore complex protein Nup155
4831at50557	Complete	SUPER_1	78251647	78255664	+	1313.1	803	https://www.orthodb.org/v10?query=4831at50557	chromodomain-helicase-DNA-binding protein 1
5495at50557	Duplicated	SUPER_X	43844970	43848725	+	2064.6	987	https://www.orthodb.org/v10?query=5495at50557	splicing factor 3B subunit 1
5495at50557	Duplicated	SUPER_GRC	78737695	78733940	-	2062.8	987	https://www.orthodb.org/v10?query=5495at50557	splicing factor 3B subunit 1
5928at50557	Duplicated	SUPER_X	54357302	54350767	-	1620.0	1164	https://www.orthodb.org/v10?query=5928at50557	E3 ubiquitin-protein ligase UBR2
5928at50557	Duplicated	SUPER_GRC	23939511	23932998	-	1618.0	1149	https://www.orthodb.org/v10?query=5928at50557	E3 ubiquitin-protein ligase UBR2
6239at50557	Complete	SUPER_X	16190321	16196866	+	1384.0	1170	https://www.orthodb.org/v10?query=6239at50557	Brefeldin A-inhibited guanine nucleotide-exchange protein 3
6416at50557	Complete	SUPER_2	16792572	16784763	-	1550.2	1042	https://www.orthodb.org/v10?query=6416at50557	vigilin
6417at50557	Complete	SUPER_2	15069662	15055787	-	821.3	473	https://www.orthodb.org/v10?query=6417at50557	transcription initiation factor TFIID subunit 2
6568at50557	Complete	SUPER_1	95835728	95845310	+	1580.6	1011	https://www.orthodb.org/v10?query=6568at50557	cullin-associated NEDD8-dissociated protein 1
7053at50557	Complete	SUPER_X	18085682	18075454	-	901.3	698	https://www.orthodb.org/v10?query=7053at50557	Transmembrane protein 132
7307at50557	Complete	SUPER_1	96301338	96281413	-	1028.4	725	https://www.orthodb.org/v10?query=7307at50557	leucine--tRNA ligase, cytoplasmic
7320at50557	Complete	SUPER_2	26594143	26584590	-	1261.7	815	https://www.orthodb.org/v10?query=7320at50557	JNK-interacting protein 3 isoform X1
7376at50557	Complete	SUPER_1	22098808	22023398	-	1928.8	1130	https://www.orthodb.org/v10?query=7376at50557	Leucine-rich repeat
7426at50557	Complete	SUPER_GRC	81147977	81141621	-	1174.2	743	https://www.orthodb.org/v10?query=7426at50557	DNA polymerase subunit gamma-1, mitochondrial
7704at50557	Duplicated	SUPER_GRC	27834339	27843542	+	1007.9	908	https://www.orthodb.org/v10?query=7704at50557	rapamycin-insensitive companion of mTOR
7704at50557	Duplicated	SUPER_X	10673674	10687045	+	1035.2	902	https://www.orthodb.org/v10?query=7704at50557	rapamycin-insensitive companion of mTOR
7835at50557	Duplicated	SUPER_X	56501939	56505950	+	1007.3	701	https://www.orthodb.org/v10?query=7835at50557	regulator of nonsense transcripts 2
7835at50557	Duplicated	SUPER_GRC	25852015	25855978	+	993.3	701	https://www.orthodb.org/v10?query=7835at50557	regulator of nonsense transcripts 2
7968at50557	Complete	SUPER_1	24451019	24443064	-	297.8	654	https://www.orthodb.org/v10?query=7968at50557	WASH complex subunit 7
8280at50557	Duplicated	SUPER_X	36003222	35986862	-	1317.8	962	https://www.orthodb.org/v10?query=8280at50557	chaoptin
8280at50557	Duplicated	SUPER_GRC	36236840	36250740	+	1315.0	962	https://www.orthodb.org/v10?query=8280at50557	chaoptin
8312at50557	Complete	SUPER_3	35287273	35280215	-	635.3	692	https://www.orthodb.org/v10?query=8312at50557	Elongator complex protein 1
8417at50557	Complete	SUPER_3	38304853	38309734	+	1237.6	840	https://www.orthodb.org/v10?query=8417at50557	integrator complex subunit 2
8547at50557	Duplicated	SUPER_1	17047172	17013077	-	465.2	582	https://www.orthodb.org/v10?query=8547at50557	tyrosine-protein kinase hopscotch
8547at50557	Duplicated	SUPER_GRC	11707110	11702407	-	463.9	543	https://www.orthodb.org/v10?query=8547at50557	tyrosine-protein kinase hopscotch
8602at50557	Complete	SUPER_2	5919823	5931980	+	1162.5	664	https://www.orthodb.org/v10?query=8602at50557	Zona pellucida domain
8655at50557	Complete	SUPER_3	12690764	12699691	+	1528.9	1085	https://www.orthodb.org/v10?query=8655at50557	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1
8717at50557	Complete	SUPER_2	9992276	9960643	-	1813.6	1014	https://www.orthodb.org/v10?query=8717at50557	Ras guanine-nucleotide exchange factor catalytic domain superfamily
8721at50557	Complete	SUPER_2	31520529	31485521	-	1102.7	745	https://www.orthodb.org/v10?query=8721at50557	Golgi apparatus protein 1
8842at50557	Complete	SUPER_X	16008022	16000960	-	1063.7	794	https://www.orthodb.org/v10?query=8842at50557	transmembrane protein 94 isoform X1
9432at50557	Complete	SUPER_2	36418296	36424644	+	1326.4	1218	https://www.orthodb.org/v10?query=9432at50557	integrator complex subunit 1
9680at50557	Complete	SUPER_2	22616273	22629621	+	901.4	641	https://www.orthodb.org/v10?query=9680at50557	EGF-like, conserved site
9996at50557	Complete	SUPER_1	8502637	8492936	-	1415.4	864	https://www.orthodb.org/v10?query=9996at50557	exportin-1
10008at50557	Complete	SUPER_X	5439996	5414318	-	1110.8	797	https://www.orthodb.org/v10?query=10008at50557	type I inositol 3,4-bisphosphate 4-phosphatase isoform X1
10268at50557	Complete	SUPER_2	3586731	3583052	-	1280.1	773	https://www.orthodb.org/v10?query=10268at50557	synaptojanin-1
10394at50557	Complete	SUPER_X	32542820	32534856	-	698.3	636	https://www.orthodb.org/v10?query=10394at50557	partitioning defective 3 homolog
10664at50557	Complete	SUPER_3	6182462	6174736	-	1550.8	936	https://www.orthodb.org/v10?query=10664at50557	importin-5
10915at50557	Complete	SUPER_2	32896126	32888915	-	1266.7	973	https://www.orthodb.org/v10?query=10915at50557	intraflagellar transport protein 122 homolog
10998at50557	Complete	SUPER_2	14060046	14063066	+	327.7	269	https://www.orthodb.org/v10?query=10998at50557	rho guanine nucleotide exchange factor 18
11128at50557	Complete	SUPER_3	50182878	50173750	-	1054.8	645	https://www.orthodb.org/v10?query=11128at50557	disheveled-associated activator of morphogenesis 1 isoform X1
11161at50557	Complete	SUPER_2	59326002	59339958	+	1199.8	748	https://www.orthodb.org/v10?query=11161at50557	importin-7
11224at50557	Complete	SUPER_2	54634057	54725070	+	1145.1	654	https://www.orthodb.org/v10?query=11224at50557	CUB domain
11473at50557	Complete	SUPER_2	61048099	61068168	+	418.0	276	https://www.orthodb.org/v10?query=11473at50557	Zinc finger, RING-type
11478at50557	Complete	SUPER_2	8331628	8338773	+	1286.8	921	https://www.orthodb.org/v10?query=11478at50557	WD repeat-containing protein 35
11510at50557	Complete	SUPER_1	8081516	8098027	+	1817.9	1028	https://www.orthodb.org/v10?query=11510at50557	neuropathy target esterase sws isoform X1
11763at50557	Duplicated	SUPER_2	28038994	28033861	-	1515.3	846	https://www.orthodb.org/v10?query=11763at50557	FACT complex subunit spt16 isoform X1
11763at50557	Duplicated	SUPER_GRC	47771588	47776551	+	1343.5	846	https://www.orthodb.org/v10?query=11763at50557	FACT complex subunit spt16 isoform X1
11763at50557	Duplicated	SUPER_GRC	51001490	51005252	+	1303.4	707	https://www.orthodb.org/v10?query=11763at50557	FACT complex subunit spt16 isoform X1
12010at50557	Complete	SUPER_1	8686781	8680313	-	849.5	621	https://www.orthodb.org/v10?query=12010at50557	vacuolar protein sorting-associated protein 54
12051at50557	Duplicated	SUPER_1	15796226	15774099	-	1549.6	756	https://www.orthodb.org/v10?query=12051at50557	AP-2 complex subunit alpha
12051at50557	Duplicated	SUPER_GRC	10602210	10545597	-	1545.6	749	https://www.orthodb.org/v10?query=12051at50557	AP-2 complex subunit alpha
12236at50557	Duplicated	SUPER_X	126555	107317	-	1326.5	734	https://www.orthodb.org/v10?query=12236at50557	Coatomer subunit beta
12236at50557	Duplicated	SUPER_GRC	27270536	27276959	+	1271.2	723	https://www.orthodb.org/v10?query=12236at50557	Coatomer subunit beta
12236at50557	Duplicated	SUPER_GRC	63021773	63024879	+	1212.6	699	https://www.orthodb.org/v10?query=12236at50557	Coatomer subunit beta
12466at50557	Complete	SUPER_1	70064367	70051398	-	1360.6	876	https://www.orthodb.org/v10?query=12466at50557	DENN domain-containing protein 5B isoform X1
12503at50557	Complete	SUPER_2	16908067	16921847	+	952.4	595	https://www.orthodb.org/v10?query=12503at50557	Mediator of RNA polymerase II transcription subunit 13
