# BUSCO version is: 5.5.0 
# The lineage dataset is: insecta_odb10 (Creation date: 2020-09-10, number of genomes: 75, number of BUSCOs: 1367)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
47at50557	Complete	47at50557_7425_0:0021a0|scaffold_3:11358754-11408112	11358754	11408112	-	12276	4988	https://www.orthodb.org/v10?query=47at50557	Immunoglobulin-like domain
547at50557	Complete	547at50557_7244_0:000728|scaffold_4:20282350-20330729	20282350	20330729	-	11287	2368	https://www.orthodb.org/v10?query=547at50557	protein unc-80 homolog
755at50557	Complete	755at50557_40932_0:001a30|scaffold_1:71990556-72011638	71990556	72011638	-	5224	2272	https://www.orthodb.org/v10?query=755at50557	SRCR-like domain
767at50557	Complete	767at50557_7395_0:0025ef|scaffold_5:30862428-30883543	30862428	30883543	+	10398	2307	https://www.orthodb.org/v10?query=767at50557	WD40-repeat-containing domain
888at50557	Complete	888at50557_69004_0:002c0b|scaffold_5:28695640-28705893	28695640	28705893	+	6104	1799	https://www.orthodb.org/v10?query=888at50557	probable ubiquitin carboxyl-terminal hydrolase FAF-X
966at50557	Complete	966at50557_156304_0:001d9a|scaffold_1:66172636-66195696	66172636	66195696	+	5006	1791	https://www.orthodb.org/v10?query=966at50557	leucine-rich repeat serine/threonine-protein kinase 1
983at50557	Complete	983at50557_319348_0:0001f2|scaffold_3:18321905-18334247	18321905	18334247	+	12030	1995	https://www.orthodb.org/v10?query=983at50557	pre-mRNA-processing-splicing factor 8
1451at50557	Complete	1451at50557_30019_0:001135|scaffold_3:40187934-40196506	40187934	40196506	-	4169	1991	https://www.orthodb.org/v10?query=1451at50557	small subunit processome component 20 homolog
1593at50557	Complete	1593at50557_217634_0:002452|scaffold_4:28124329-28134438	28124329	28134438	+	3793	1007	https://www.orthodb.org/v10?query=1593at50557	cadherin-89D
1621at50557	Complete	1621at50557_13249_0:001e48|scaffold_3:39829811-39841134	39829811	39841134	+	7297	2333	https://www.orthodb.org/v10?query=1621at50557	GPCR, family 2, extracellular hormone receptor domain
1859at50557	Complete	1859at50557_64838_0:0006f6|scaffold_3:53955267-53987974	53955267	53987974	+	4493	1481	https://www.orthodb.org/v10?query=1859at50557	Zinc finger C2H2 superfamily
1997at50557	Complete	1997at50557_116153_0:001086|scaffold_4:47962962-47989189	47962962	47989189	-	7962	1789	https://www.orthodb.org/v10?query=1997at50557	protein sidekick isoform X1
2098at50557	Complete	2098at50557_7536_0:00226a|scaffold_5:12693797-12700972	12693797	12700972	+	3822	881	https://www.orthodb.org/v10?query=2098at50557	pecanex-like protein 1 isoform X1
2101at50557	Complete	2101at50557_67767_0:000752|scaffold_4:17354033-17360608	17354033	17360608	-	3019	1384	https://www.orthodb.org/v10?query=2101at50557	serine/threonine-protein kinase SMG1
2110at50557	Complete	2110at50557_143948_0:0026b6|scaffold_1:50698143-50706296	50698143	50706296	-	1884	1319	https://www.orthodb.org/v10?query=2110at50557	proteasome-associated protein ECM29 homolog
2168at50557	Complete	2168at50557_7070_0:000521|scaffold_3:42546001-42556209	42546001	42556209	-	3404	956	https://www.orthodb.org/v10?query=2168at50557	DNA polymerase
2187at50557	Complete	2187at50557_2015173_0:001137|scaffold_4:41510660-41519931	41510660	41519931	-	7797	2113	https://www.orthodb.org/v10?query=2187at50557	eIF-2-alpha kinase activator GCN1
2339at50557	Complete	2339at50557_42026_0:000016|scaffold_5:23973339-23986371	23973339	23986371	-	7692	1431	https://www.orthodb.org/v10?query=2339at50557	Clathrin heavy chain
2418at50557	Complete	2418at50557_166423_0:000289|scaffold_3:42359250-42366305	42359250	42366305	+	3486	1243	https://www.orthodb.org/v10?query=2418at50557	trichohyalin isoform X1
2648at50557	Complete	2648at50557_45779_0:0017b2|scaffold_1:2226328-2286019	2226328	2286019	-	6973	1468	https://www.orthodb.org/v10?query=2648at50557	Ankyrin repeat-containing domain
