# BUSCO version is: 5.5.0 
# The lineage dataset is: insecta_odb10 (Creation date: 2020-09-10, number of genomes: 75, number of BUSCOs: 1367)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
47at50557	Complete	47at50557_64459_0:001525|scaffold_2:54326122-54363042	54326122	54363042	+	13724	4685	https://www.orthodb.org/v10?query=47at50557	Immunoglobulin-like domain
547at50557	Complete	547at50557_69004_0:0000e8|scaffold_7:285045-305656	285045	305656	+	11400	2325	https://www.orthodb.org/v10?query=547at50557	protein unc-80 homolog
755at50557	Complete	755at50557_116153_0:00158f|scaffold_1:30317318-30336184	30317318	30336184	+	7985	2247	https://www.orthodb.org/v10?query=755at50557	SRCR-like domain
767at50557	Complete	767at50557_166361_0:002908|scaffold_3:15474324-15489945	15474324	15489945	-	9497	2342	https://www.orthodb.org/v10?query=767at50557	WD40-repeat-containing domain
888at50557	Complete	888at50557_39758_0:00272f|scaffold_3:9561452-9570162	9561452	9570162	-	8181	1730	https://www.orthodb.org/v10?query=888at50557	probable ubiquitin carboxyl-terminal hydrolase FAF-X
966at50557	Complete	966at50557_34740_0:00268e|scaffold_1:22527871-22539144	22527871	22539144	+	3815	1699	https://www.orthodb.org/v10?query=966at50557	leucine-rich repeat serine/threonine-protein kinase 1
983at50557	Complete	983at50557_535359_0:0021c3|scaffold_2:29653101-29661366	29653101	29661366	-	11746	1968	https://www.orthodb.org/v10?query=983at50557	pre-mRNA-processing-splicing factor 8
1451at50557	Complete	1451at50557_13164_0:0037cf|scaffold_2:36895778-36904356	36895778	36904356	+	3546	2093	https://www.orthodb.org/v10?query=1451at50557	small subunit processome component 20 homolog
1593at50557	Complete	1593at50557_91411_0:001a6d|scaffold_7:8352148-8358942	8352148	8358942	+	3356	1000	https://www.orthodb.org/v10?query=1593at50557	cadherin-89D
1621at50557	Complete	1621at50557_7493_0:001896|scaffold_2:37279059-37289236	37279059	37289236	-	9191	2370	https://www.orthodb.org/v10?query=1621at50557	GPCR, family 2, extracellular hormone receptor domain
1859at50557	Complete	1859at50557_168631_0:0019ec|scaffold_2:13272224-13293276	13272224	13293276	+	4384	1446	https://www.orthodb.org/v10?query=1859at50557	Zinc finger C2H2 superfamily
1997at50557	Complete	1997at50557_7029_0:0011a4|scaffold_4:19740366-19761896	19740366	19761896	+	7202	1783	https://www.orthodb.org/v10?query=1997at50557	protein sidekick isoform X1
2098at50557	Complete	2098at50557_77166_0:000c5e|scaffold_3:27073047-27081349	27073047	27081349	+	3736	891	https://www.orthodb.org/v10?query=2098at50557	pecanex-like protein 1 isoform X1
2101at50557	Complete	2101at50557_67767_0:000752|scaffold_7:3119120-3125720	3119120	3125720	-	3033	1432	https://www.orthodb.org/v10?query=2101at50557	serine/threonine-protein kinase SMG1
2110at50557	Complete	2110at50557_54969_0:003065|scaffold_1:32141207-32147924	32141207	32147924	-	3929	1308	https://www.orthodb.org/v10?query=2110at50557	proteasome-associated protein ECM29 homolog
2168at50557	Complete	2168at50557_110193_0:000677|scaffold_2:34357757-34366034	34357757	34366034	+	3116	904	https://www.orthodb.org/v10?query=2168at50557	DNA polymerase
2187at50557	Complete	2187at50557_41427_0:002484|scaffold_4:8077946-8087205	8077946	8087205	-	9402	2076	https://www.orthodb.org/v10?query=2187at50557	eIF-2-alpha kinase activator GCN1
2339at50557	Complete	2339at50557_7536_0:002b1e|scaffold_3:12796933-12808618	12796933	12808618	+	3974	1426	https://www.orthodb.org/v10?query=2339at50557	Clathrin heavy chain
2418at50557	Complete	2418at50557_133901_0:002039|scaffold_2:34597293-34605783	34597293	34605783	-	3439	1361	https://www.orthodb.org/v10?query=2418at50557	trichohyalin isoform X1
2648at50557	Complete	2648at50557_315563_0:000bee|scaffold_1:76295460-76340605	76295460	76340605	+	7205	1449	https://www.orthodb.org/v10?query=2648at50557	Ankyrin repeat-containing domain
2741at50557	Complete	2741at50557_286306_0:002f67|scaffold_1:11586176-11591590	11586176	11591590	+	4796	1056	https://www.orthodb.org/v10?query=2741at50557	brefeldin A-inhibited guanine nucleotide-exchange protein 1
2744at50557	Complete	2744at50557_40932_0:000c7d|scaffold_2:15330236-15339751	15330236	15339751	+	5160	1815	https://www.orthodb.org/v10?query=2744at50557	dnaJ homolog subfamily C member 13
2843at50557	Complete	2843at50557_7130_0:001337|scaffold_2:40303747-40311649	40303747	40311649	-	4208	1028	https://www.orthodb.org/v10?query=2843at50557	nucleosome-remodeling factor subunit NURF301 isoform X1
3565at50557	Complete	3565at50557_7394_0:0000ad|scaffold_3:2210551-2216197	2210551	2216197	+	5217	1075	https://www.orthodb.org/v10?query=3565at50557	DENN domain-containing protein 4C isoform X1
4042at50557	Complete	4042at50557_315563_0:002104|scaffold_4:20749259-20754118	20749259	20754118	-	4441	783	https://www.orthodb.org/v10?query=4042at50557	attractin-like protein 1
4137at50557	Complete	4137at50557_7165_0:000696|scaffold_2:45657488-45685630	45657488	45685630	+	6897	1501	https://www.orthodb.org/v10?query=4137at50557	Thioredoxin domain
4709at50557	Complete	4709at50557_69820_0:0014c0|scaffold_1:14514429-14519241	14514429	14519241	-	2314	1008	https://www.orthodb.org/v10?query=4709at50557	nuclear pore complex protein Nup155
4831at50557	Complete	4831at50557_123851_0:0002c4|scaffold_1:52009858-52013395	52009858	52013395	+	4332	882	https://www.orthodb.org/v10?query=4831at50557	chromodomain-helicase-DNA-binding protein 1
5495at50557	Complete	5495at50557_7394_0:0022f3|scaffold_4:10270415-10275750	10270415	10275750	+	5958	1153	https://www.orthodb.org/v10?query=5495at50557	splicing factor 3B subunit 1
5928at50557	Complete	5928at50557_568069_0:000d3b|scaffold_4:13378015-13384553	13378015	13384553	+	4756	1165	https://www.orthodb.org/v10?query=5928at50557	E3 ubiquitin-protein ligase UBR2
6239at50557	Complete	6239at50557_7029_0:0000a0|scaffold_4:3884103-3890604	3884103	3890604	-	2560	1212	https://www.orthodb.org/v10?query=6239at50557	Brefeldin A-inhibited guanine nucleotide-exchange protein 3
6416at50557	Complete	6416at50557_43151_0:0026a6|scaffold_2:50299032-50302849	50299032	50302849	+	3946	1023	https://www.orthodb.org/v10?query=6416at50557	vigilin
6417at50557	Complete	6417at50557_1155016_0:00178d|scaffold_2:51448353-51450926	51448353	51450926	+	2207	487	https://www.orthodb.org/v10?query=6417at50557	transcription initiation factor TFIID subunit 2
6568at50557	Complete	6568at50557_7394_0:001825|scaffold_1:28905642-28913547	28905642	28913547	+	4617	1055	https://www.orthodb.org/v10?query=6568at50557	cullin-associated NEDD8-dissociated protein 1
7053at50557	Complete	7053at50557_7493_0:0030d2|scaffold_7:21387242-21402315	21387242	21402315	-	2672	762	https://www.orthodb.org/v10?query=7053at50557	Transmembrane protein 132
7307at50557	Complete	7307at50557_217634_0:0035c7|scaffold_1:29252113-29256070	29252113	29256070	-	3882	785	https://www.orthodb.org/v10?query=7307at50557	leucine--tRNA ligase, cytoplasmic
7320at50557	Complete	7320at50557_104688_0:00297f|scaffold_2:21002476-21016061	21002476	21016061	-	3759	813	https://www.orthodb.org/v10?query=7320at50557	JNK-interacting protein 3 isoform X1
7376at50557	Complete	7376at50557_7159_0:0029c0|scaffold_1:5983590-6062255	5983590	6062255	-	6933	1221	https://www.orthodb.org/v10?query=7376at50557	Leucine-rich repeat
7426at50557	Complete	7426at50557_6973_0:00344d|scaffold_4:8286193-8289809	8286193	8289809	+	3165	754	https://www.orthodb.org/v10?query=7426at50557	DNA polymerase subunit gamma-1, mitochondrial
7704at50557	Fragmented	7704at50557_456900_0:002bca|scaffold_7:23169086-23185125	23169086	23185125	+	1896	905	https://www.orthodb.org/v10?query=7704at50557	rapamycin-insensitive companion of mTOR
7704at50557	Fragmented	7704at50557_456900_0:002bca|scaffold_7:22838364-22854404	22838364	22854404	+	1899	376	https://www.orthodb.org/v10?query=7704at50557	rapamycin-insensitive companion of mTOR
7835at50557	Complete	7835at50557_7130_0:001517|scaffold_4:11620624-11624441	11620624	11624441	-	2367	714	https://www.orthodb.org/v10?query=7835at50557	regulator of nonsense transcripts 2
7968at50557	Missing
8280at50557	Complete	8280at50557_13164_0:00253a|scaffold_4:4119065-4132531	4119065	4132531	+	2291	1162	https://www.orthodb.org/v10?query=8280at50557	chaoptin
8312at50557	Missing
8417at50557	Complete	8417at50557_54969_0:001594|scaffold_3:14477682-14481273	14477682	14481273	+	3508	862	https://www.orthodb.org/v10?query=8417at50557	integrator complex subunit 2
8547at50557	Complete	8547at50557_104421_0:002064|scaffold_1:44915300-44921269	44915300	44921269	-	1386	654	https://www.orthodb.org/v10?query=8547at50557	tyrosine-protein kinase hopscotch
8602at50557	Complete	8602at50557_38123_0:002f53|scaffold_2:11438173-11444540	11438173	11444540	-	3057	719	https://www.orthodb.org/v10?query=8602at50557	Zona pellucida domain
8655at50557	Complete	8655at50557_222816_0:001fdd|scaffold_3:27093629-27099904	27093629	27099904	+	3221	1125	https://www.orthodb.org/v10?query=8655at50557	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1
8717at50557	Complete	8717at50557_79782_0:0003c4|scaffold_2:54719571-54740591	54719571	54740591	+	4199	1148	https://www.orthodb.org/v10?query=8717at50557	Ras guanine-nucleotide exchange factor catalytic domain superfamily
8721at50557	Complete	8721at50557_7375_0:002ecd|scaffold_2:29748913-29753350	29748913	29753350	-	3225	927	https://www.orthodb.org/v10?query=8721at50557	Golgi apparatus protein 1
8842at50557	Complete	8842at50557_116153_0:000752|scaffold_7:24433810-24448166	24433810	24448166	+	2405	922	https://www.orthodb.org/v10?query=8842at50557	transmembrane protein 94 isoform X1
9432at50557	Complete	9432at50557_54969_0:003027|scaffold_2:38608329-38614590	38608329	38614590	-	4382	1204	https://www.orthodb.org/v10?query=9432at50557	integrator complex subunit 1
9680at50557	Complete	9680at50557_286706_0:000f63|scaffold_2:42740084-42765593	42740084	42765593	-	2363	652	https://www.orthodb.org/v10?query=9680at50557	EGF-like, conserved site
9996at50557	Complete	9996at50557_104421_0:000e56|scaffold_1:69696854-69703745	69696854	69703745	-	4209	864	https://www.orthodb.org/v10?query=9996at50557	exportin-1
10008at50557	Complete	10008at50557_7244_0:001de6|scaffold_4:7068799-7078046	7068799	7078046	+	3107	925	https://www.orthodb.org/v10?query=10008at50557	type I inositol 3,4-bisphosphate 4-phosphatase isoform X1
10268at50557	Complete	10268at50557_7536_0:001228|scaffold_2:30613045-30617033	30613045	30617033	-	3076	787	https://www.orthodb.org/v10?query=10268at50557	synaptojanin-1
10394at50557	Complete	10394at50557_7425_0:002f9a|scaffold_4:25250292-25291930	25250292	25291930	-	1303	655	https://www.orthodb.org/v10?query=10394at50557	partitioning defective 3 homolog
10664at50557	Complete	10664at50557_29029_0:00329e|scaffold_3:4859452-4863558	4859452	4863558	-	3988	936	https://www.orthodb.org/v10?query=10664at50557	importin-5
10915at50557	Complete	10915at50557_88501_0:00071b|scaffold_2:26922023-26933111	26922023	26933111	+	2746	969	https://www.orthodb.org/v10?query=10915at50557	intraflagellar transport protein 122 homolog
10998at50557	Complete	10998at50557_7536_0:00067a|scaffold_2:52082438-52084145	52082438	52084145	-	1115	274	https://www.orthodb.org/v10?query=10998at50557	rho guanine nucleotide exchange factor 18
11128at50557	Complete	11128at50557_535359_0:0007c9|scaffold_3:30528947-30542055	30528947	30542055	+	3165	673	https://www.orthodb.org/v10?query=11128at50557	disheveled-associated activator of morphogenesis 1 isoform X1
11161at50557	Duplicated	11161at50557_535359_0:001d4c|scaffold_2:8470260-8474853	8470260	8474853	+	3158	832	https://www.orthodb.org/v10?query=11161at50557	importin-7
11161at50557	Duplicated	11161at50557_7394_0:000721|scaffold_3:20998489-20998897	20998489	20998897	+	448	101	https://www.orthodb.org/v10?query=11161at50557	importin-7
11224at50557	Complete	11224at50557_609295_0:001892|scaffold_1:73892379-73955551	73892379	73955551	-	2745	686	https://www.orthodb.org/v10?query=11224at50557	CUB domain
11473at50557	Complete	11473at50557_7160_0:000a5c|scaffold_2:47553961-47566155	47553961	47566155	-	3504	303	https://www.orthodb.org/v10?query=11473at50557	Zinc finger, RING-type
11478at50557	Complete	11478at50557_136037_0:000be9|scaffold_2:45443496-45447925	45443496	45447925	+	3437	922	https://www.orthodb.org/v10?query=11478at50557	WD repeat-containing protein 35
11510at50557	Complete	11510at50557_62324_0:002c07|scaffold_1:49041077-49050949	49041077	49050949	-	4209	1081	https://www.orthodb.org/v10?query=11510at50557	neuropathy target esterase sws isoform X1
11763at50557	Complete	11763at50557_286706_0:001cc2|scaffold_2:1334895-1345962	1334895	1345962	+	3996	842	https://www.orthodb.org/v10?query=11763at50557	FACT complex subunit spt16 isoform X1
12010at50557	Complete	12010at50557_110193_0:000553|scaffold_1:69881449-69883915	69881449	69883915	-	1995	635	https://www.orthodb.org/v10?query=12010at50557	vacuolar protein sorting-associated protein 54
12051at50557	Complete	12051at50557_30069_0:001e8c|scaffold_1:27345482-27363670	27345482	27363670	-	4757	861	https://www.orthodb.org/v10?query=12051at50557	AP-2 complex subunit alpha
12236at50557	Complete	12236at50557_51655_0:003036|scaffold_4:29080282-29084086	29080282	29084086	-	2640	745	https://www.orthodb.org/v10?query=12236at50557	Coatomer subunit beta
12466at50557	Complete	12466at50557_217634_0:0022ef|scaffold_1:30924039-30937268	30924039	30937268	+	3777	976	https://www.orthodb.org/v10?query=12466at50557	DENN domain-containing protein 5B isoform X1
12503at50557	Complete	12503at50557_29058_0:0008a2|scaffold_2:50226068-50255725	50226068	50255725	-	3371	613	https://www.orthodb.org/v10?query=12503at50557	Mediator of RNA polymerase II transcription subunit 13
12555at50557	Complete	12555at50557_7029_0:001b49|scaffold_4:6045742-6058008	6045742	6058008	+	1328	450	https://www.orthodb.org/v10?query=12555at50557	Ankyrin repeat-containing domain
12735at50557	Complete	12735at50557_7130_0:003759|scaffold_7:21731636-21733074	21731636	21733074	-	1672	325	https://www.orthodb.org/v10?query=12735at50557	WD40-repeat-containing domain
12821at50557	Complete	12821at50557_88501_0:002af5|scaffold_1:55398393-55401641	55398393	55401641	-	2377	658	https://www.orthodb.org/v10?query=12821at50557	cold shock domain-containing protein E1
13112at50557	Complete	13112at50557_56086_0:0023a5|scaffold_2:49368961-49370386	49368961	49370386	+	1691	307	https://www.orthodb.org/v10?query=13112at50557	Toll/interleukin-1 receptor homology (TIR) domain
13158at50557	Complete	13158at50557_217634_0:001f4b|scaffold_1:18788430-18791650	18788430	18791650	+	2488	628	https://www.orthodb.org/v10?query=13158at50557	Carboxylesterase, type B
13223at50557	Complete	13223at50557_7168_0:001734|scaffold_4:12180534-12185179	12180534	12185179	+	2054	636	https://www.orthodb.org/v10?query=13223at50557	integrator complex subunit 6
13553at50557	Complete	13553at50557_34740_0:000b79|scaffold_4:22553377-22556392	22553377	22556392	-	2263	734	https://www.orthodb.org/v10?query=13553at50557	WD repeat-containing protein 36
13582at50557	Complete	13582at50557_13037_0:001d2a|scaffold_1:23534204-23537922	23534204	23537922	+	1747	480	https://www.orthodb.org/v10?query=13582at50557	ubiquitin carboxyl-terminal hydrolase 20
13612at50557	Complete	13612at50557_76194_0:000b35|scaffold_1:51319350-51323051	51319350	51323051	-	1676	621	https://www.orthodb.org/v10?query=13612at50557	DNA repair protein complementing XP-G cells homolog
13625at50557	Duplicated	13625at50557_136037_0:000303|scaffold_1:53558286-53564912	53558286	53564912	+	2813	719	https://www.orthodb.org/v10?query=13625at50557	periodic tryptophan protein 2 homolog
13625at50557	Duplicated	13625at50557_6973_0:0002cd|scaffold_4:713094-714199	713094	714199	+	758	72	https://www.orthodb.org/v10?query=13625at50557	periodic tryptophan protein 2 homolog
13778at50557	Complete	13778at50557_30023_0:001f51|scaffold_3:10331272-10334188	10331272	10334188	+	3251	744	https://www.orthodb.org/v10?query=13778at50557	protein unc-45 homolog B
13828at50557	Complete	13828at50557_51655_0:0043ce|scaffold_1:21290958-21293841	21290958	21293841	-	2050	549	https://www.orthodb.org/v10?query=13828at50557	membrane-bound transcription factor site-1 protease
13892at50557	Complete	13892at50557_7493_0:0017d7|scaffold_7:11355517-11358859	11355517	11358859	-	2665	710	https://www.orthodb.org/v10?query=13892at50557	protein O-GlcNAcase isoform X1
14125at50557	Complete	14125at50557_7130_0:00001d|scaffold_4:3561945-3565015	3561945	3565015	+	1387	524	https://www.orthodb.org/v10?query=14125at50557	protein kibra
14133at50557	Complete	14133at50557_56086_0:00010a|scaffold_7:3391166-3395787	3391166	3395787	+	2018	460	https://www.orthodb.org/v10?query=14133at50557	Zinc finger C2H2 superfamily
14335at50557	Complete	14335at50557_108931_0:000560|scaffold_1:29020201-29023187	29020201	29023187	+	2013	656	https://www.orthodb.org/v10?query=14335at50557	Exocyst complex component 2
14380at50557	Complete	14380at50557_108931_0:000fb1|scaffold_2:43420535-43424139	43420535	43424139	-	1337	400	https://www.orthodb.org/v10?query=14380at50557	EGF-like calcium-binding, conserved site
14512at50557	Complete	14512at50557_125945_0:001481|scaffold_4:2419993-2424045	2419993	2424045	-	1689	484	https://www.orthodb.org/v10?query=14512at50557	Katanin p80 WD40 repeat-containing subunit B1
